customer_id,name,tier,credit_limit,email,phone,city,state,status
CUST-1032,Beacon Manufacturing 2,Mid-Market,25000,procurement@beaconmanufacturing2.com,+1 (555) 132-6413,Dallas,GA,Active
CUST-1033,Cascade Robotics 2,SMB,250000,procurement@cascaderobotics2.com,+1 (555) 319-9834,Seattle,OH,Active
CUST-1034,Delta Heavy Industries 2,Mid-Market,250000,procurement@deltaheavyindustries2.com,+1 (555) 926-7669,Atlanta,TX,Active
CUST-1035,Echo Medical Systems 2,Enterprise,250000,procurement@echomedicalsystems2.com,+1 (555) 462-7939,Phoenix,OH,Active
CUST-1036,Falcon Energy 2,Enterprise,25000,procurement@falconenergy2.com,+1 (555) 162-7596,Boston,TX,Active
CUST-1037,Genesis Cloud 2,Mid-Market,50000,procurement@genesiscloud2.com,+1 (555) 294-9786,Cleveland,WA,Active
CUST-1038,Horizon Freight 2,Strategic,50000,procurement@horizonfreight2.com,+1 (555) 385-8579,Atlanta,TX,Active
CUST-1039,Ironclad Security 2,Strategic,500000,procurement@ironcladsecurity2.com,+1 (555) 200-1828,Chicago,TX,Active
CUST-1040,Jupiter Dynamics 2,Mid-Market,50000,procurement@jupiterdynamics2.com,+1 (555) 516-8956,Cleveland,GA,Active
CUST-1041,Keystone Electronics 2,Strategic,25000,procurement@keystoneelectronics2.com,+1 (555) 268-7209,Chicago,AZ,Active
CUST-1042,Lighthouse Marine 2,SMB,250000,procurement@lighthousemarine2.com,+1 (555) 392-7930,Cleveland,WA,Active
CUST-1043,Monarch Aerospace 2,Mid-Market,100000,procurement@monarchaerospace2.com,+1 (555) 322-1958,Chicago,MA,Active
CUST-1044,Nexus Automation 2,Enterprise,25000,procurement@nexusautomation2.com,+1 (555) 698-8811,Seattle,IL,Active
CUST-1045,Omega Biotech 2,Enterprise,50000,procurement@omegabiotech2.com,+1 (555) 170-2113,Atlanta,AZ,Active
CUST-1046,Pinnacle Retail 2,Enterprise,500000,procurement@pinnacleretail2.com,+1 (555) 352-1651,Dallas,AZ,Active
CUST-1047,Quantum Optics 2,SMB,100000,procurement@quantumoptics2.com,+1 (555) 309-6147,Atlanta,CO,Active
CUST-1048,Radiant Materials 2,Strategic,50000,procurement@radiantmaterials2.com,+1 (555) 787-5915,Cleveland,MA,Active
CUST-1049,Summit Technologies 2,Enterprise,25000,procurement@summittechnologies2.com,+1 (555) 569-2638,Dallas,GA,Active
CUST-1050,Titan Mining 2,SMB,50000,procurement@titanmining2.com,+1 (555) 457-2127,Atlanta,MA,Active
CUST-1051,Ultra Filtration 2,SMB,50000,procurement@ultrafiltration2.com,+1 (555) 548-9900,Denver,IL,Active
CUST-1052,Vanguard Defense 2,SMB,25000,procurement@vanguarddefense2.com,+1 (555) 999-3200,Denver,TX,Active
CUST-1053,Westlake Chemicals 2,Enterprise,500000,procurement@westlakechemicals2.com,+1 (555) 259-5462,Denver,GA,Active
CUST-1054,Xcel Engineering 2,SMB,50000,procurement@xcelengineering2.com,+1 (555) 803-5325,Cleveland,CO,Active
CUST-1055,Zenith Power 2,Enterprise,25000,procurement@zenithpower2.com,+1 (555) 749-7939,Denver,IL,Active
CUST-1056,Borealis Sensors 2,Enterprise,100000,procurement@borealissensors2.com,+1 (555) 889-3143,Denver,WA,Active
CUST-1057,Crestview Labs 2,Strategic,500000,procurement@crestviewlabs2.com,+1 (555) 822-8007,Chicago,TX,Active
CUST-1058,DuraSteel Corp 2,Enterprise,50000,procurement@durasteelcorp2.com,+1 (555) 658-1590,Boston,WA,Active
CUST-1059,Evergreen Packaging 2,Strategic,50000,procurement@evergreenpackaging2.com,+1 (555) 142-6050,Boston,IL,Active
CUST-1060,Frontier Turbines 2,SMB,50000,procurement@frontierturbines2.com,+1 (555) 798-5088,Dallas,MA,Active
CUST-1061,Apex Logistics 3,Strategic,500000,procurement@apexlogistics3.com,+1 (555) 867-3532,Atlanta,WA,Active
CUST-1062,Beacon Manufacturing 3,Mid-Market,250000,procurement@beaconmanufacturing3.com,+1 (555) 125-3938,Boston,AZ,Active
CUST-1063,Cascade Robotics 3,Mid-Market,100000,procurement@cascaderobotics3.com,+1 (555) 263-2771,Phoenix,IL,Active
CUST-1064,Delta Heavy Industries 3,Strategic,50000,procurement@deltaheavyindustries3.com,+1 (555) 304-8541,Boston,CO,Active
CUST-1065,Echo Medical Systems 3,Mid-Market,50000,procurement@echomedicalsystems3.com,+1 (555) 124-4164,Phoenix,MA,Active
CUST-1066,Falcon Energy 3,SMB,25000,procurement@falconenergy3.com,+1 (555) 891-5573,Boston,AZ,Active
CUST-1067,Genesis Cloud 3,SMB,25000,procurement@genesiscloud3.com,+1 (555) 218-5279,Seattle,CO,Active
CUST-1068,Horizon Freight 3,Enterprise,25000,procurement@horizonfreight3.com,+1 (555) 710-8119,Boston,MA,Active
CUST-1069,Ironclad Security 3,Strategic,500000,procurement@ironcladsecurity3.com,+1 (555) 623-2894,Phoenix,GA,Active
CUST-1070,Jupiter Dynamics 3,SMB,25000,procurement@jupiterdynamics3.com,+1 (555) 825-8144,Chicago,GA,Active
CUST-1071,Keystone Electronics 3,SMB,250000,procurement@keystoneelectronics3.com,+1 (555) 171-6409,Boston,TX,Active
CUST-1072,Lighthouse Marine 3,SMB,500000,procurement@lighthousemarine3.com,+1 (555) 416-7691,Boston,AZ,Active
CUST-1073,Monarch Aerospace 3,SMB,500000,procurement@monarchaerospace3.com,+1 (555) 230-4143,Phoenix,AZ,Active
CUST-1074,Nexus Automation 3,Mid-Market,500000,procurement@nexusautomation3.com,+1 (555) 682-5930,Phoenix,IL,Active
CUST-1075,Omega Biotech 3,SMB,100000,procurement@omegabiotech3.com,+1 (555) 315-8043,Boston,OH,Active
CUST-1076,Pinnacle Retail 3,Strategic,250000,procurement@pinnacleretail3.com,+1 (555) 791-4501,Cleveland,WA,Active
CUST-1077,Quantum Optics 3,Enterprise,100000,procurement@quantumoptics3.com,+1 (555) 627-6491,Dallas,GA,Active
CUST-1078,Radiant Materials 3,SMB,50000,procurement@radiantmaterials3.com,+1 (555) 925-4262,Seattle,IL,Active
CUST-1079,Summit Technologies 3,Enterprise,50000,procurement@summittechnologies3.com,+1 (555) 586-2193,Cleveland,AZ,Active
CUST-1080,Titan Mining 3,Mid-Market,250000,procurement@titanmining3.com,+1 (555) 606-7547,Atlanta,WA,Active
CUST-1081,Ultra Filtration 3,Enterprise,25000,procurement@ultrafiltration3.com,+1 (555) 897-7965,Atlanta,WA,Active
CUST-1082,Vanguard Defense 3,Strategic,25000,procurement@vanguarddefense3.com,+1 (555) 670-5082,Dallas,OH,Active
CUST-1083,Westlake Chemicals 3,Mid-Market,250000,procurement@westlakechemicals3.com,+1 (555) 783-9702,Boston,OH,Active
CUST-1084,Xcel Engineering 3,Strategic,500000,procurement@xcelengineering3.com,+1 (555) 556-3607,Cleveland,OH,Active
CUST-1085,Zenith Power 3,SMB,50000,procurement@zenithpower3.com,+1 (555) 960-5543,Cleveland,GA,Active
CUST-1086,Borealis Sensors 3,SMB,250000,procurement@borealissensors3.com,+1 (555) 179-5681,Atlanta,CO,Active
CUST-1087,Crestview Labs 3,SMB,100000,procurement@crestviewlabs3.com,+1 (555) 653-2320,Seattle,WA,Active
CUST-1088,DuraSteel Corp 3,Mid-Market,250000,procurement@durasteelcorp3.com,+1 (555) 810-3503,Atlanta,TX,Active
CUST-1089,Evergreen Packaging 3,Strategic,250000,procurement@evergreenpackaging3.com,+1 (555) 438-9890,Cleveland,AZ,Active
CUST-1090,Frontier Turbines 3,Enterprise,50000,procurement@frontierturbines3.com,+1 (555) 952-7883,Phoenix,IL,Active
CUST-1091,Apex Logistics 4,Strategic,250000,procurement@apexlogistics4.com,+1 (555) 106-6763,Denver,AZ,Active
CUST-1092,Beacon Manufacturing 4,Strategic,500000,procurement@beaconmanufacturing4.com,+1 (555) 865-9947,Atlanta,OH,Active
CUST-1093,Cascade Robotics 4,Mid-Market,100000,procurement@cascaderobotics4.com,+1 (555) 546-8956,Chicago,AZ,Active
CUST-1094,Delta Heavy Industries 4,SMB,250000,procurement@deltaheavyindustries4.com,+1 (555) 841-3704,Cleveland,WA,Active
CUST-1095,Echo Medical Systems 4,Enterprise,250000,procurement@echomedicalsystems4.com,+1 (555) 706-1444,Dallas,AZ,Active
CUST-1096,Falcon Energy 4,Mid-Market,250000,procurement@falconenergy4.com,+1 (555) 286-1823,Denver,AZ,Active
CUST-1097,Genesis Cloud 4,SMB,50000,procurement@genesiscloud4.com,+1 (555) 565-6355,Boston,AZ,Active
CUST-1098,Horizon Freight 4,SMB,250000,procurement@horizonfreight4.com,+1 (555) 358-2341,Cleveland,IL,Active
CUST-1099,Ironclad Security 4,Enterprise,100000,procurement@ironcladsecurity4.com,+1 (555) 329-2124,Chicago,IL,Active
CUST-1100,Jupiter Dynamics 4,Mid-Market,50000,procurement@jupiterdynamics4.com,+1 (555) 959-1333,Seattle,GA,Active
CUST-1101,Keystone Electronics 4,Mid-Market,250000,procurement@keystoneelectronics4.com,+1 (555) 785-2874,Atlanta,OH,Active
CUST-1102,Lighthouse Marine 4,SMB,100000,procurement@lighthousemarine4.com,+1 (555) 271-2876,Seattle,CO,Active
CUST-1103,Monarch Aerospace 4,Enterprise,500000,procurement@monarchaerospace4.com,+1 (555) 126-6111,Phoenix,AZ,Active
CUST-1104,Nexus Automation 4,Mid-Market,25000,procurement@nexusautomation4.com,+1 (555) 706-4978,Dallas,CO,Active
CUST-1105,Omega Biotech 4,Enterprise,500000,procurement@omegabiotech4.com,+1 (555) 901-1672,Boston,AZ,Active
CUST-1106,Pinnacle Retail 4,SMB,25000,procurement@pinnacleretail4.com,+1 (555) 618-6590,Chicago,AZ,Active
CUST-1107,Quantum Optics 4,Strategic,25000,procurement@quantumoptics4.com,+1 (555) 543-6934,Cleveland,WA,Active
CUST-1108,Radiant Materials 4,Strategic,50000,procurement@radiantmaterials4.com,+1 (555) 851-9548,Denver,OH,Active
CUST-1109,Summit Technologies 4,Strategic,250000,procurement@summittechnologies4.com,+1 (555) 945-5397,Boston,GA,Active
CUST-1110,Titan Mining 4,Enterprise,100000,procurement@titanmining4.com,+1 (555) 561-4995,Cleveland,AZ,Active
CUST-1111,Ultra Filtration 4,SMB,25000,procurement@ultrafiltration4.com,+1 (555) 606-6325,Seattle,OH,Active
CUST-1112,Vanguard Defense 4,Mid-Market,100000,procurement@vanguarddefense4.com,+1 (555) 916-5232,Boston,CO,Active
CUST-1113,Westlake Chemicals 4,SMB,500000,procurement@westlakechemicals4.com,+1 (555) 110-9464,Atlanta,TX,Active
CUST-1114,Xcel Engineering 4,Mid-Market,250000,procurement@xcelengineering4.com,+1 (555) 600-4937,Cleveland,OH,Active
CUST-1115,Zenith Power 4,Strategic,25000,procurement@zenithpower4.com,+1 (555) 195-5820,Atlanta,AZ,Active
CUST-1116,Borealis Sensors 4,Mid-Market,100000,procurement@borealissensors4.com,+1 (555) 779-7046,Cleveland,MA,Active
CUST-1117,Crestview Labs 4,Strategic,500000,procurement@crestviewlabs4.com,+1 (555) 438-6764,Cleveland,CO,Active
CUST-1118,DuraSteel Corp 4,SMB,100000,procurement@durasteelcorp4.com,+1 (555) 336-2976,Atlanta,MA,Active
CUST-1119,Evergreen Packaging 4,Enterprise,500000,procurement@evergreenpackaging4.com,+1 (555) 880-4033,Atlanta,GA,Active
CUST-1120,Frontier Turbines 4,Strategic,100000,procurement@frontierturbines4.com,+1 (555) 841-9595,Denver,TX,Active
